HQ_FISHERY,OPENING_DATE,CLOSING_DATE,SPECIES,AVG_WEIGHT,AVG_PRICE,NUMBERS
Annette Island,2025-01-01 00:01:00,2025-12-31 23:59:00,Chinook,13.3,4.7,2472
Annette Island,2025-01-01 00:01:00,2025-12-31 23:59:00,Chinook jack,,,45
Annette Island,2025-01-01 00:01:00,2025-12-31 23:59:00,Chum,7.9,0.67,542051
Annette Island,2025-01-01 00:01:00,2025-12-31 23:59:00,Coho,5.9,0.88,2263
Annette Island,2025-01-01 00:01:00,2025-12-31 23:59:00,Pink,3.4,0.28,372598
Annette Island,2025-01-01 00:01:00,2025-12-31 23:59:00,Sockeye,5.7,2.14,5085
Hatchery Terminal Gillnet,2025-06-01 00:01:00,2025-11-10 23:59:00,Chinook,12.1,5.13,9148
Hatchery Terminal Gillnet,2025-06-01 00:01:00,2025-11-10 23:59:00,Chinook jack,,,0
Hatchery Terminal Gillnet,2025-06-01 00:01:00,2025-11-10 23:59:00,Chum,6.7,0.63,1758105
Hatchery Terminal Gillnet,2025-06-01 00:01:00,2025-11-10 23:59:00,Coho,7.3,1.76,19792
Hatchery Terminal Gillnet,2025-06-01 00:01:00,2025-11-10 23:59:00,Pink,3.6,0.25,38657
Hatchery Terminal Gillnet,2025-06-01 00:01:00,2025-11-10 23:59:00,Sockeye,5.4,2.14,13756
Hatchery Terminal Seine,2025-06-01 00:01:00,2025-09-30 23:59:00,Chinook,12.9,5.49,12845
Hatchery Terminal Seine,2025-06-01 00:01:00,2025-09-30 23:59:00,Chinook jack,,,462
Hatchery Terminal Seine,2025-06-01 00:01:00,2025-09-30 23:59:00,Chum,6.6,0.61,1827856
Hatchery Terminal Seine,2025-06-01 00:01:00,2025-09-30 23:59:00,Coho,5.5,0.66,5470
Hatchery Terminal Seine,2025-06-01 00:01:00,2025-09-30 23:59:00,Pink,3.1,0.28,125567
Hatchery Terminal Seine,2025-06-01 00:01:00,2025-09-30 23:59:00,Sockeye,5.5,1.73,9555
Hatchery Terminal Troll,2025-06-01 00:01:00,2025-11-10 23:59:00,Chinook,11.9,7.86,4073
Hatchery Terminal Troll,2025-06-01 00:01:00,2025-11-10 23:59:00,Chinook jack,,,0
Hatchery Terminal Troll,2025-06-01 00:01:00,2025-11-10 23:59:00,Chum,7.3,0.7,142119
Hatchery Terminal Troll,2025-06-01 00:01:00,2025-11-10 23:59:00,Coho,5.1,2.37,2539
Hatchery Terminal Troll,2025-06-01 00:01:00,2025-11-10 23:59:00,Pink,3.8,0.25,1892
Hatchery Terminal Troll,2025-06-01 00:01:00,2025-11-10 23:59:00,Sockeye,5,2.21,24
Lynn Canal Gillnet,2025-06-15 12:01:00,2025-10-01 12:00:00,Chinook,10.4,4.65,1156
Lynn Canal Gillnet,2025-06-15 12:01:00,2025-10-01 12:00:00,Chinook jack,,,0
Lynn Canal Gillnet,2025-06-15 12:01:00,2025-10-01 12:00:00,Chum,6.5,0.63,624615
Lynn Canal Gillnet,2025-06-15 12:01:00,2025-10-01 12:00:00,Coho,7.6,1.43,23443
Lynn Canal Gillnet,2025-06-15 12:01:00,2025-10-01 12:00:00,Pink,3.9,0.25,30729
Lynn Canal Gillnet,2025-06-15 12:01:00,2025-10-01 12:00:00,Sockeye,5.7,2.22,61319
POW Gillnet,2025-06-15 12:01:00,2025-09-24 12:00:00,Chinook,11,4.12,564
POW Gillnet,2025-06-15 12:01:00,2025-09-24 12:00:00,Chinook jack,,,0
POW Gillnet,2025-06-15 12:01:00,2025-09-24 12:00:00,Chum,7.9,0.65,154647
POW Gillnet,2025-06-15 12:01:00,2025-09-24 12:00:00,Coho,7.5,1.56,16573
POW Gillnet,2025-06-15 12:01:00,2025-09-24 12:00:00,Pink,4.4,0.31,79018
POW Gillnet,2025-06-15 12:01:00,2025-09-24 12:00:00,Sockeye,5.6,2.21,23602
SE Hatchery Cost R,2025-05-01 00:01:00,2025-11-30 23:59:00,Chinook,12.1,1.82,29296
SE Hatchery Cost R,2025-05-01 00:01:00,2025-11-30 23:59:00,Chinook jack,,,27
SE Hatchery Cost R,2025-05-01 00:01:00,2025-11-30 23:59:00,Chum,6.5,0.76,5216820
SE Hatchery Cost R,2025-05-01 00:01:00,2025-11-30 23:59:00,Coho,6.6,1.56,145760
SE Hatchery Cost R,2025-05-01 00:01:00,2025-11-30 23:59:00,Pink,3.2,0.25,468112
SE Hatchery Cost R,2025-05-01 00:01:00,2025-11-30 23:59:00,Sockeye,4.5,1.64,16332
Seine-Northern,2025-06-15 05:00:00,2025-09-01 21:00:00,Chinook,13.2,1.46,548
Seine-Northern,2025-06-15 05:00:00,2025-09-01 21:00:00,Chinook jack,,,282
Seine-Northern,2025-06-15 05:00:00,2025-09-01 21:00:00,Chum,5.8,0.63,1100714
Seine-Northern,2025-06-15 05:00:00,2025-09-01 21:00:00,Coho,5.6,0.61,78892
Seine-Northern,2025-06-15 05:00:00,2025-09-01 21:00:00,Pink,3.3,0.25,10348423
Seine-Northern,2025-06-15 05:00:00,2025-09-01 21:00:00,Sockeye,4.7,1.55,233974
Seine-Southern,2025-07-03 05:00:00,2025-08-29 21:00:00,Chinook,13.5,4.61,2139
Seine-Southern,2025-07-03 05:00:00,2025-08-29 21:00:00,Chinook jack,,,1131
Seine-Southern,2025-07-03 05:00:00,2025-08-29 21:00:00,Chum,7.2,0.61,1454491
Seine-Southern,2025-07-03 05:00:00,2025-08-29 21:00:00,Coho,5.5,0.73,110361
Seine-Southern,2025-07-03 05:00:00,2025-08-29 21:00:00,Pink,3.1,0.26,9499703
Seine-Southern,2025-07-03 05:00:00,2025-08-29 21:00:00,Sockeye,5.9,1.71,208368
Spring Troll,2025-05-01 00:01:00,2025-06-30 23:59:00,Chinook,11.6,8.09,13143
Spring Troll,2025-05-01 00:01:00,2025-06-30 23:59:00,Chinook jack,,,0
Spring Troll,2025-05-01 00:01:00,2025-06-30 23:59:00,Chum,6.4,0.63,2591
Spring Troll,2025-05-01 00:01:00,2025-06-30 23:59:00,Coho,4.9,1.36,92
Spring Troll,2025-05-01 00:01:00,2025-06-30 23:59:00,Pink,4.6,0.3,396
Spring Troll,2025-05-01 00:01:00,2025-06-30 23:59:00,Sockeye,5,1.73,20
Stikine Gillnet,2025-06-22 12:01:00,2025-09-24 12:00:00,Chinook,11.5,3.45,613
Stikine Gillnet,2025-06-22 12:01:00,2025-09-24 12:00:00,Chinook jack,,,0
Stikine Gillnet,2025-06-22 12:01:00,2025-09-24 12:00:00,Chum,8.4,0.67,92950
Stikine Gillnet,2025-06-22 12:01:00,2025-09-24 12:00:00,Coho,7.2,1.98,9159
Stikine Gillnet,2025-06-22 12:01:00,2025-09-24 12:00:00,Pink,3.9,0.31,14348
Stikine Gillnet,2025-06-22 12:01:00,2025-09-24 12:00:00,Sockeye,5.4,2.28,9105
Summer Troll,2025-07-01 00:01:00,2025-09-24 12:00:00,Chinook,11,8.24,55718
Summer Troll,2025-07-01 00:01:00,2025-09-24 12:00:00,Chinook jack,,,0
Summer Troll,2025-07-01 00:01:00,2025-09-24 12:00:00,Chum,6.5,0.7,317807
Summer Troll,2025-07-01 00:01:00,2025-09-24 12:00:00,Coho,5.4,2.2,958988
Summer Troll,2025-07-01 00:01:00,2025-09-24 12:00:00,Pink,3.8,0.33,60304
Summer Troll,2025-07-01 00:01:00,2025-09-24 12:00:00,Sockeye,4.5,2.1,1541
Taku-Snet Gillnet,2025-06-15 12:01:00,2025-09-23 12:00:00,Chinook,9.7,4.98,2278
Taku-Snet Gillnet,2025-06-15 12:01:00,2025-09-23 12:00:00,Chinook jack,,,0
Taku-Snet Gillnet,2025-06-15 12:01:00,2025-09-23 12:00:00,Chum,6.2,0.65,964494
Taku-Snet Gillnet,2025-06-15 12:01:00,2025-09-23 12:00:00,Coho,8.1,1.39,25883
Taku-Snet Gillnet,2025-06-15 12:01:00,2025-09-23 12:00:00,Pink,3.6,0.26,60274
Taku-Snet Gillnet,2025-06-15 12:01:00,2025-09-23 12:00:00,Sockeye,5.2,2.2,104625
Test Fisheries,2025-06-22 00:01:00,2025-08-02 23:59:00,Chinook,,,0
Test Fisheries,2025-06-22 00:01:00,2025-08-02 23:59:00,Chinook jack,,,1
Test Fisheries,2025-06-22 00:01:00,2025-08-02 23:59:00,Chum,,,41684
Test Fisheries,2025-06-22 00:01:00,2025-08-02 23:59:00,Coho,,,874
Test Fisheries,2025-06-22 00:01:00,2025-08-02 23:59:00,Pink,,,53230
Test Fisheries,2025-06-22 00:01:00,2025-08-02 23:59:00,Sockeye,,,2324
Tree Point Gillnet,2025-06-15 12:01:00,2025-09-25 12:00:00,Chinook,12.2,4.41,1006
Tree Point Gillnet,2025-06-15 12:01:00,2025-09-25 12:00:00,Chinook jack,,,0
Tree Point Gillnet,2025-06-15 12:01:00,2025-09-25 12:00:00,Chum,8.6,0.61,318219
Tree Point Gillnet,2025-06-15 12:01:00,2025-09-25 12:00:00,Coho,7,1.26,10269
Tree Point Gillnet,2025-06-15 12:01:00,2025-09-25 12:00:00,Pink,3.7,0.25,102193
Tree Point Gillnet,2025-06-15 12:01:00,2025-09-25 12:00:00,Sockeye,5.4,2.09,12051
Yakutat Gillnet,2025-06-01 00:00:00,2025-10-15 12:00:00,Chinook,11.9,3.8,2686
Yakutat Gillnet,2025-06-01 00:00:00,2025-10-15 12:00:00,Chinook jack,,,0
Yakutat Gillnet,2025-06-01 00:00:00,2025-10-15 12:00:00,Chum,6.2,0.25,154271
Yakutat Gillnet,2025-06-01 00:00:00,2025-10-15 12:00:00,Coho,7.3,1.24,86790
Yakutat Gillnet,2025-06-01 00:00:00,2025-10-15 12:00:00,Pink,4,0.25,16716
Yakutat Gillnet,2025-06-01 00:00:00,2025-10-15 12:00:00,Sockeye,5.2,1.78,67480
