"id","run_date","district_id","district_name","catch_daily","catch_cumulative","escapement_daily","escapement_cumulative","in_river_estimate","total_run","created_at"
"40","06-20-2023","ugashik","Ugashik","14124","17926","0","0","0","17926",""
"41","06-20-2023","egegik","Egegik","0","107696","13644","15066","0","122762",""
"42","06-20-2023","naknek","Naknek-Kvichak","6822","8390","0","0","0","8390",""
"43","06-20-2023","nushagak","Nushagak","4723","11080","2548","28264","0","39344",""
"44","06-20-2023","togiak","Togiak","479","767","0","0","0","767",""
"45","06-21-2023","ugashik","Ugashik","19371","37297","0","0","0","37297",""
"46","06-21-2023","egegik","Egegik","135187","242883","29382","44448","50000","337331",""
"47","06-21-2023","naknek","Naknek-Kvichak","2261","10651","210","210","0","10861",""
"48","06-21-2023","nushagak","Nushagak","2755","13835","14648","42912","0","56747",""
"49","06-21-2023","togiak","Togiak","904","1671","0","0","0","1671",""
"50","06-22-2023","ugashik","Ugashik","23425","60722","0","0","0","60722",""
"51","06-22-2023","egegik","Egegik","345514","588397","12054","56502","25000","669899",""
"52","06-22-2023","naknek","Naknek-Kvichak","1745","12396","78","288","0","12684",""
"53","06-22-2023","nushagak","Nushagak","3378","17213","187212","230124","0","247337",""
"54","06-22-2023","togiak","Togiak","340","2011","0","0","0","2011",""
"55","06-23-2023","ugashik","Ugashik","2796","63518","0","0","0","63518",""
"56","06-23-2023","egegik","Egegik","139580","727977","6924","63426","20000","811403",""
"57","06-23-2023","naknek","Naknek-Kvichak","90","12486","72","360","0","12846",""
"58","06-23-2023","nushagak","Nushagak","12810","30023","160571","390695","0","420718",""
"59","06-23-2023","togiak","Togiak","231","2242","0","0","0","2242",""
"60","06-24-2023","ugashik","Ugashik","0","63518","0","0","0","63518",""
"61","06-24-2023","egegik","Egegik","0","727977","9126","72552","15000","815529",""
"62","06-24-2023","naknek","Naknek-Kvichak","13821","26307","132","492","0","26799",""
"63","06-24-2023","nushagak","Nushagak","23420","53443","149822","540517","0","593960",""
"64","06-24-2023","togiak","Togiak","0","2242","0","0","0","2242",""
"65","06-25-2023","ugashik","Ugashik","0","63518","0","0","0","63518",""
"66","06-25-2023","egegik","Egegik","2846","730823","1788","74340","5000","810163",""
"67","06-25-2023","naknek","Naknek-Kvichak","0","26307","96","588","0","26895",""
"68","06-25-2023","nushagak","Nushagak","349716","403159","608144","1148661","0","1551820",""
"69","06-25-2023","togiak","Togiak","0","2242","0","0","0","2242",""
"70","06-26-2023","ugashik","Ugashik","0","63518","0","0","0","63518",""
"71","06-26-2023","egegik","Egegik","58238","789061","1932","76272","2500","867833",""
"72","06-26-2023","naknek","Naknek-Kvichak","0","26307","33522","34110","30000","90417",""
"73","06-26-2023","nushagak","Nushagak","537962","941121","681914","1830575","0","2771696",""
"74","06-26-2023","togiak","Togiak","1108","3350","0","0","0","3350",""
"75","06-27-2023","ugashik","Ugashik","15202","78720","0","0","0","78720",""
"76","06-27-2023","egegik","Egegik","91029","880090","1074","77346","5000","962436",""
"77","06-27-2023","naknek","Naknek-Kvichak","173622","199929","42768","76878","35000","311807",""
"78","06-27-2023","nushagak","Nushagak","685364","1626485","462518","2293093","0","3919578",""
"79","06-27-2023","togiak","Togiak","2759","6109","0","0","0","6109",""
"80","06-28-2023","ugashik","Ugashik","0","78720","126","126","0","78846",""
"81","06-28-2023","egegik","Egegik","0","880090","16890","94236","15000","989326",""
"82","06-28-2023","naknek","Naknek-Kvichak","0","199929","18966","95844","25000","320773",""
"83","06-28-2023","nushagak","Nushagak","607417","2233902","231327","2524420","0","4758322",""
"84","06-28-2023","togiak","Togiak","1198","7307","0","0","0","7307",""
"85","06-29-2023","ugashik","Ugashik","0","78720","432","558","0","79278",""
"86","06-29-2023","egegik","Egegik","130223","1010313","13998","108234","5000","1123547",""
"87","06-29-2023","naknek","Naknek-Kvichak","162879","362808","44460","140304","10000","513112",""
"88","06-29-2023","nushagak","Nushagak","553575","2787477","156982","2681402","0","5468879",""
"89","06-29-2023","togiak","Togiak","407","7714","0","0","0","7714",""
"90","06-30-2023","ugashik","Ugashik","29848","108568","1206","1764","1500","111832",""
"91","06-30-2023","egegik","Egegik","613679","1623992","10404","118638","40000","1782630",""
"92","06-30-2023","naknek","Naknek-Kvichak","282050","644858","19578","159882","10000","814740",""
"93","06-30-2023","nushagak","Nushagak","658396","3445873","112565","2793967","0","6239840",""
"94","06-30-2023","togiak","Togiak","3759","11473","0","0","0","11473",""
"95","07-01-2023","ugashik","Ugashik","0","108568","504","2268","1500","112336",""
"96","07-01-2023","egegik","Egegik","1252005","2875997","132996","251634","225000","3352631",""
"97","07-01-2023","naknek","Naknek-Kvichak","184454","829312","46134","206016","30000","1065328",""
"98","07-01-2023","nushagak","Nushagak","1021018","4466891","81425","2875392","0","7342283",""
"99","07-01-2023","togiak","Togiak","4682","16155","0","0","0","16155",""
"100","07-02-2023","ugashik","Ugashik","0","108568","546","2814","0","111382",""
"101","07-02-2023","egegik","Egegik","757415","3633412","213396","465030","200000","4298442",""
"102","07-02-2023","naknek","Naknek-Kvichak","542815","1372127","22572","228588","20000","1620715",""
"103","07-02-2023","nushagak","Nushagak","971286","5438177","106134","2981526","0","8419703",""
"104","07-02-2023","togiak","Togiak","0","16155","0","0","0","16155",""
"105","07-03-2023","ugashik","Ugashik","72560","181128","684","3498","6000","190626",""
"106","07-03-2023","egegik","Egegik","851765","4485177","137646","602676","250000","5337853",""
"107","07-03-2023","naknek","Naknek-Kvichak","1464577","2836704","88422","317010","100000","3253714",""
"108","07-03-2023","nushagak","Nushagak","520724","5958901","113342","3094868","0","9053769",""
"109","07-03-2023","togiak","Togiak","5162","21317","0","0","0","21317",""
"110","07-04-2023","ugashik","Ugashik","0","181128","852","4350","0","185478",""
"111","07-04-2023","egegik","Egegik","479203","4964380","51234","653910","0","5618290",""
"112","07-04-2023","naknek","Naknek-Kvichak","388164","3224868","201114","518124","330000","4072992",""
"113","07-04-2023","nushagak","Nushagak","525547","6484448","127845","3222713","0","9707161",""
"114","07-04-2023","togiak","Togiak","5090","26407","0","0","0","26407",""
"115","07-05-2023","ugashik","Ugashik","98359","279487","102","4452","8000","291939",""
"116","07-05-2023","egegik","Egegik","485769","5450149","40566","694476","150000","6294625",""
"117","07-05-2023","naknek","Naknek-Kvichak","955191","4180059","117462","635586","450000","5265645",""
"118","07-05-2023","nushagak","Nushagak","749627","7234075","179371","3402084","0","10636159",""
"119","07-05-2023","togiak","Togiak","5056","31463","0","0","0","31463",""
"120","07-06-2023","ugashik","Ugashik","0","279487","624","5076","50000","334563",""
"121","07-06-2023","egegik","Egegik","837940","6288089","17598","712074","200000","7200163",""
"122","07-06-2023","naknek","Naknek-Kvichak","331354","4511413","515724","1151310","700000","6362723",""
"123","07-06-2023","nushagak","Nushagak","467252","7701327","151239","3553323","0","11254650",""
"124","07-06-2023","togiak","Togiak","7418","38881","9360","9360","0","48241",""
"125","07-07-2023","ugashik","Ugashik","179396","458883","10932","16008","120000","594891",""
"126","07-07-2023","egegik","Egegik","408172","6696261","55014","767088","100000","7563349",""
"127","07-07-2023","naknek","Naknek-Kvichak","93457","4604870","610530","1761840","450000","6816710",""
"128","07-07-2023","nushagak","Nushagak","128638","7829965","93549","3646872","0","11476837",""
"129","07-07-2023","togiak","Togiak","8422","47303","6906","16266","0","63569",""
"130","07-08-2023","ugashik","Ugashik","164746","623629","28614","44622","80000","748251",""
"131","07-08-2023","egegik","Egegik","112515","6808776","17766","784854","50000","7643630",""
"132","07-08-2023","naknek","Naknek-Kvichak","158492","4763362","445698","2207538","450000","7420900",""
"133","07-08-2023","nushagak","Nushagak","64384","7894349","66333","3713205","0","11607554",""
"134","07-08-2023","togiak","Togiak","5529","52832","6012","22278","0","75110",""
"135","07-09-2023","ugashik","Ugashik","117631","741260","20826","65448","80000","886708",""
"136","07-09-2023","egegik","Egegik","203873","7012649","16266","801120","25000","7838769",""
"137","07-09-2023","naknek","Naknek-Kvichak","572265","5335627","314052","2521590","150000","8007217",""
"138","07-09-2023","nushagak","Nushagak","485997","8380346","53925","3767130","0","12147476",""
"139","07-09-2023","togiak","Togiak","0","52832","4944","27222","0","80054",""
"140","07-10-2023","ugashik","Ugashik","0","741260","28856","94304","100000","935564",""
"141","07-10-2023","egegik","Egegik","241620","7254269","3714","804834","10000","8069103",""
"142","07-10-2023","naknek","Naknek-Kvichak","767692","6103319","162030","2683620","200000","8986939",""
"143","07-10-2023","nushagak","Nushagak","800911","9181257","124245","3891375","0","13072632",""
"144","07-10-2023","togiak","Togiak","10507","63339","3708","30930","0","94269",""
"145","07-11-2023","ugashik","Ugashik","0","741260","53718","148022","150000","1039282",""
"146","07-11-2023","egegik","Egegik","230380","7484649","15612","820446","0","8305095",""
